,home_team,away_team,winning_team,Unnamed: 0_x,home_ranking,Unnamed: 0_y,away_ranking
103,Uruguay,Argentina,Argentina,13.0,14.0,4.0,5.0
104,Uruguay,Argentina,Draw,13.0,14.0,4.0,5.0
105,Germany,Austria,Austria,0.0,1.0,25.0,26.0
106,Argentina,Uruguay,Argentina,4.0,5.0,13.0,14.0
107,Germany,Sweden,Sweden,0.0,1.0,23.0,24.0
108,Uruguay,Argentina,Uruguay,13.0,14.0,4.0,5.0
109,Germany,Hungary,Hungary,0.0,1.0,50.0,51.0
110,France,Belgium,Draw,6.0,7.0,2.0,3.0
111,France,Switzerland,France,6.0,7.0,5.0,6.0
112,Belgium,Switzerland,Belgium,2.0,3.0,5.0,6.0
113,Belgium,Netherlands,Netherlands,2.0,3.0,16.0,17.0
114,Switzerland,Germany,Germany,5.0,6.0,0.0,1.0
115,Sweden,Hungary,Draw,23.0,24.0,50.0,51.0
116,Sweden,Finland,Sweden,23.0,24.0,62.0,63.0
117,Russia,Hungary,Hungary,69.0,70.0,50.0,51.0
118,Russia,Hungary,Hungary,69.0,70.0,50.0,51.0
119,Uruguay,Argentina,Uruguay,13.0,14.0,4.0,5.0
120,Uruguay,Argentina,Uruguay,13.0,14.0,4.0,5.0
121,Argentina,Uruguay,Uruguay,4.0,5.0,13.0,14.0
122,Argentina,Uruguay,Draw,4.0,5.0,13.0,14.0
123,Denmark,Germany,Denmark,11.0,12.0,0.0,1.0
124,Sweden,Norway,Sweden,23.0,24.0,52.0,53.0
125,Germany,Netherlands,Netherlands,0.0,1.0,16.0,17.0
126,Uruguay,Argentina,Argentina,13.0,14.0,4.0,5.0
127,France,Italy,France,6.0,7.0,18.0,19.0
128,Belgium,France,Belgium,2.0,3.0,6.0,7.0
129,Belgium,Netherlands,Draw,2.0,3.0,16.0,17.0
130,Switzerland,France,France,5.0,6.0,6.0,7.0
131,England,Wales,England,12.0,13.0,17.0,18.0
132,England,Scotland,England,12.0,13.0,41.0,42.0
133,France,Luxembourg,France,6.0,7.0,85.0,86.0
134,Russia,Sweden,Sweden,69.0,70.0,23.0,24.0
135,Switzerland,Belgium,Belgium,5.0,6.0,2.0,3.0
136,Germany,Switzerland,Switzerland,0.0,1.0,5.0,6.0
137,Denmark,Sweden,Denmark,11.0,12.0,23.0,24.0
138,Sweden,Norway,Sweden,23.0,24.0,52.0,53.0
139,Argentina,Uruguay,Draw,4.0,5.0,13.0,14.0
140,Argentina,Uruguay,Argentina,4.0,5.0,13.0,14.0
141,Argentina,Uruguay,Argentina,4.0,5.0,13.0,14.0
142,Argentina,Uruguay,Argentina,4.0,5.0,13.0,14.0
143,Russia,Norway,Draw,69.0,70.0,52.0,53.0
144,Sweden,Denmark,Denmark,23.0,24.0,11.0,12.0
145,Uruguay,Argentina,Uruguay,13.0,14.0,4.0,5.0
146,Germany,Denmark,Denmark,0.0,1.0,11.0,12.0
147,Uruguay,Argentina,Uruguay,13.0,14.0,4.0,5.0
148,Belgium,Switzerland,Belgium,2.0,3.0,5.0,6.0
149,Belgium,Germany,Belgium,2.0,3.0,0.0,1.0
150,France,Belgium,France,6.0,7.0,2.0,3.0
151,England,Northern Ireland,Northern Ireland,12.0,13.0,28.0,29.0
152,France,Switzerland,Draw,6.0,7.0,5.0,6.0
153,Belgium,Netherlands,Netherlands,2.0,3.0,16.0,17.0
154,Denmark,Netherlands,Denmark,11.0,12.0,16.0,17.0
155,Switzerland,Italy,Italy,5.0,6.0,18.0,19.0
156,Sweden,Finland,Sweden,23.0,24.0,62.0,63.0
157,Sweden,Hungary,Draw,23.0,24.0,50.0,51.0
158,Sweden,Russia,Draw,23.0,24.0,69.0,70.0
159,Uruguay,Argentina,Uruguay,13.0,14.0,4.0,5.0
160,Argentina,Uruguay,Argentina,4.0,5.0,13.0,14.0
161,Argentina,Brazil,Argentina,4.0,5.0,1.0,2.0
162,Argentina,Brazil,Brazil,4.0,5.0,1.0,2.0
163,Sweden,Norway,Sweden,23.0,24.0,52.0,53.0
164,Denmark,Sweden,Denmark,11.0,12.0,23.0,24.0
165,Uruguay,Argentina,Argentina,13.0,14.0,4.0,5.0
166,Argentina,Uruguay,Argentina,4.0,5.0,13.0,14.0
167,Uruguay,Argentina,Uruguay,13.0,14.0,4.0,5.0
168,Denmark,Norway,Denmark,11.0,12.0,52.0,53.0
169,Sweden,Norway,Sweden,23.0,24.0,52.0,53.0
170,Sweden,Denmark,Denmark,23.0,24.0,11.0,12.0
171,Denmark,Sweden,Denmark,11.0,12.0,23.0,24.0
172,Sweden,Norway,Sweden,23.0,24.0,52.0,53.0
173,Argentina,Chile,Argentina,4.0,5.0,8.0,9.0
174,Brazil,Chile,Draw,1.0,2.0,8.0,9.0
175,Argentina,Brazil,Draw,4.0,5.0,1.0,2.0
176,Argentina,Chile,Argentina,4.0,5.0,8.0,9.0
177,Brazil,Uruguay,Uruguay,1.0,2.0,13.0,14.0
178,Uruguay,Chile,Uruguay,13.0,14.0,8.0,9.0
179,Argentina,Uruguay,Draw,4.0,5.0,13.0,14.0
180,Uruguay,Brazil,Brazil,13.0,14.0,1.0,2.0
181,Argentina,Uruguay,Argentina,4.0,5.0,13.0,14.0
182,Uruguay,Argentina,Argentina,13.0,14.0,4.0,5.0
183,Sweden,United States,United States,23.0,24.0,24.0,25.0
184,Argentina,Uruguay,Argentina,4.0,5.0,13.0,14.0
185,Uruguay,Argentina,Argentina,13.0,14.0,4.0,5.0
186,Sweden,Denmark,Sweden,23.0,24.0,11.0,12.0
187,Denmark,Norway,Denmark,11.0,12.0,52.0,53.0
188,Uruguay,Argentina,Uruguay,13.0,14.0,4.0,5.0
189,Japan,Philippines,Philippines,60.0,61.0,114.0,115.0
190,Denmark,Sweden,Draw,11.0,12.0,23.0,24.0
191,Uruguay,Argentina,Argentina,13.0,14.0,4.0,5.0
192,Argentina,Uruguay,Argentina,4.0,5.0,13.0,14.0
193,Sweden,Norway,Draw,23.0,24.0,52.0,53.0
194,Uruguay,Argentina,Uruguay,13.0,14.0,4.0,5.0
195,Uruguay,Chile,Uruguay,13.0,14.0,8.0,9.0
196,Argentina,Brazil,Argentina,4.0,5.0,1.0,2.0
197,Argentina,Chile,Argentina,4.0,5.0,8.0,9.0
198,Denmark,Norway,Denmark,11.0,12.0,52.0,53.0
199,Uruguay,Brazil,Uruguay,13.0,14.0,1.0,2.0
200,Brazil,Chile,Brazil,1.0,2.0,8.0,9.0
201,Sweden,Denmark,Denmark,23.0,24.0,11.0,12.0
202,Uruguay,Argentina,Uruguay,13.0,14.0,4.0,5.0
203,Uruguay,Brazil,Uruguay,13.0,14.0,1.0,2.0
204,Switzerland,Austria,Austria,5.0,6.0,25.0,26.0
205,Switzerland,Austria,Switzerland,5.0,6.0,25.0,26.0
206,Sweden,Norway,Sweden,23.0,24.0,52.0,53.0
207,Denmark,Sweden,Denmark,11.0,12.0,23.0,24.0
208,Uruguay,Argentina,Draw,13.0,14.0,4.0,5.0
209,Uruguay,Argentina,Uruguay,13.0,14.0,4.0,5.0
210,Argentina,Uruguay,Draw,4.0,5.0,13.0,14.0
211,Argentina,Uruguay,Argentina,4.0,5.0,13.0,14.0
212,Uruguay,Argentina,Draw,13.0,14.0,4.0,5.0
213,Argentina,Uruguay,Argentina,4.0,5.0,13.0,14.0
214,Denmark,Norway,Denmark,11.0,12.0,52.0,53.0
215,Sweden,Denmark,Denmark,23.0,24.0,11.0,12.0
216,Belgium,France,Draw,2.0,3.0,6.0,7.0
217,Brazil,Chile,Brazil,1.0,2.0,8.0,9.0
218,Argentina,Uruguay,Uruguay,4.0,5.0,13.0,14.0
219,Brazil,Argentina,Brazil,1.0,2.0,4.0,5.0
220,Argentina,Chile,Argentina,4.0,5.0,8.0,9.0
221,Brazil,Uruguay,Draw,1.0,2.0,13.0,14.0
